name,volume,price
white rum,150,212
lime juice,500,894
mint leaves,200,1408
soda water,750,382
tequila,200,1813
triple sec,500,1641
coconut cream,400,1524
pineapple juice,200,630
vodka,200,802
tomato juice,300,1169
lemon juice,250,589
cranberry juice,300,1055
gin,200,1027
cola,750,1475
whiskey,250,515
sugar syrup,1000,934
orange juice,250,1010
apple juice,50,378
tonic water,250,1975
ice cubes,50,1808
salt,750,803
sugar,100,1782
milk,1500,1119
cream,50,519
coffee,300,1754
tea,1000,56
chocolate,1000,1327
vanilla syrup,50,833
strawberry syrup,500,1853
banana,300,1746
lime,100,1386
lemon,100,914
orange,50,704
apple,700,1898
mint,250,1705
basil,1000,1964
cinnamon,1000,413
nutmeg,1000,788
honey,250,1469
ginger,750,1477
bread,250,1834
butter,50,883
eggs,150,1926
flour,500,996
rice,200,854
pasta,750,975
olive oil,750,1274
vegetable oil,100,1069
water,750,383
sparkling water,100,1333
beer,300,1384
red wine,750,845
white wine,100,425
yogurt,100,1803
cheese,100,567
mayonnaise,150,938
ketchup,300,554
mustard,750,852
cucumber,250,410
tomato,750,970
carrot,700,1659
potato,150,1471
onion,1500,652
garlic,100,399
parsley,750,1976
lemonade,750,78
soda,150,744
energy drink,300,479
nuts,250,1747
raisins,300,669
peanut butter,700,659
jam,300,854
cream cheese,100,697
frozen peas,1000,618
frozen corn,1000,1569
chicken breast,750,1546
beef,250,697
pork,250,1438
fish,200,1152
shrimp,150,1813
ice cream,300,994
cookies,500,1142
cake,150,359
cereal,400,148
oatmeal,1000,454
tea bags,500,519
coffee beans,500,54
sparkling mineral water,1500,256
juice concentrate,500,181
coconut water,750,293
soy milk,700,939
almond milk,200,1676
tofu,1000,94
bread rolls,150,1048
baguette,250,1741
croissant,100,1633
pita bread,500,229
wraps,100,241
tortilla,200,893
pizza dough,100,878
