city,state_id,population
Jackson,MO,1973960
Bristol,VT,1461572
Bristol,KS,275396
Centerville,OR,1255789
Newport,ME,548553
Jackson,SD,1880895
Jackson,WI,1177408
Franklin,MI,274293
Bristol,IN,470349
Franklin,CA,1501775
Springfield,MT,1371963
Jackson,SC,385004
Springfield,VA,281427
Jackson,TN,1861647
Newport,NH,261902
Franklin,IL,1663799
Newport,WY,1722498
Jackson,IN,124849
Newport,HI,1396201
Springfield,AK,620487
Springfield,NV,1889116
Springfield,NV,806060
Jackson,FL,793527
Greenville,NM,1430640
Bristol,NE,25995
Bristol,OH,988928
Newport,SD,968194
Bristol,AL,1945398
Jackson,NC,309906
Jackson,MT,1795567
Springfield,CT,1912596
Springfield,WV,1921978
Bristol,NY,227381
Centerville,SD,751551
Bristol,NM,910470
Franklin,VT,277691
Springfield,WV,1705525
Springfield,NV,214637
Springfield,WA,383261
Jackson,OK,1984202
Newport,MS,1092178
Franklin,MI,608064
Springfield,NE,1875233
Milton,AK,809262
Jackson,HI,1258400
Greenville,KY,1253795
Springfield,WY,30176
Jackson,WI,1507630
Jackson,FL,1787021
Springfield,CO,30319
